開催日,競技会名,区分名,SL区分,ラウンド記号,種目記号,SG区分,背番号,リーダー名,パートナー名,ジャッジ番号,ジャッジ名,PCS名,ジャッジ点数,乖離度,乖離度絶対値,ジャッジ人数,選手PCS得点
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,TQ,5.5,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,PS,6.5,0.8,1.23224568138196,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,TQ,5.5,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,PS,6.25,0.941176470588235,1.08256880733945,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,MM,5.25,0.941176470588235,0.961538461538461,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,CP,5.5,1,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,4,Nick Fok,TQ,5.5,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,4,Nick Fok,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,4,Nick Fok,PS,5.5,0.8,0.831600831600832,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,4,Nick Fok,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,5,Katia Vanone,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,5,Katia Vanone,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,5,Katia Vanone,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,5,Katia Vanone,CP,6,0.8,1.03846153846154,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,6,Tatsumi Nakano,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,6,Tatsumi Nakano,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,6,Tatsumi Nakano,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,6,Tatsumi Nakano,CP,5.5,1,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,7,Viktor Nikovskiy,TQ,6,0.8,1.2,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,7,Viktor Nikovskiy,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,7,Viktor Nikovskiy,PS,5.5,0.8,0.831600831600832,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,7,Viktor Nikovskiy,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,TQ,5,0.8,0.8,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,PS,6,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,8,Marco Sietas,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,9,Paul Holmes,CP,5.5,1,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,10,Atsushi Yamada,CP,6.5,0.5,1.32885906040268,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,TQ,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,MM,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,PS,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,1,Shen Yi,CP,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,TQ,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,MM,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,PS,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,2,Eric Sourdeau,CP,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,3,Michael Eichert,TQ,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,3,Michael Eichert,MM,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,3,Michael Eichert,PS,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,3,Michael Eichert,CP,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,4,Nick Fok,TQ,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,4,Nick Fok,MM,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,4,Nick Fok,PS,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,4,Nick Fok,CP,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,5,Katia Vanone,TQ,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,5,Katia Vanone,MM,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,5,Katia Vanone,PS,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,5,Katia Vanone,CP,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,6,Tatsumi Nakano,TQ,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,6,Tatsumi Nakano,MM,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,6,Tatsumi Nakano,PS,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,6,Tatsumi Nakano,CP,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,7,Viktor Nikovskiy,TQ,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,7,Viktor Nikovskiy,MM,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,7,Viktor Nikovskiy,PS,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,7,Viktor Nikovskiy,CP,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,8,Marco Sietas,TQ,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,8,Marco Sietas,MM,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,8,Marco Sietas,PS,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,8,Marco Sietas,CP,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,9,Paul Holmes,TQ,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,9,Paul Holmes,MM,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,9,Paul Holmes,PS,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,9,Paul Holmes,CP,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,10,Atsushi Yamada,TQ,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,10,Atsushi Yamada,MM,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,10,Atsushi Yamada,PS,0,0,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,3,Sergey Konovaltsev,Olga Konovaltseva,10,Atsushi Yamada,CP,0,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,1,Shen Yi,TQ,5.5,1,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,1,Shen Yi,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,1,Shen Yi,PS,5.75,0.8,1.2,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,1,Shen Yi,CP,0,0,0.0314440688625108,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,2,Eric Sourdeau,TQ,5.25,0.941176470588235,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,2,Eric Sourdeau,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,2,Eric Sourdeau,PS,4.75,0.8,0.8,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,2,Eric Sourdeau,CP,0,0,0.0314440688625108,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,3,Michael Eichert,TQ,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,3,Michael Eichert,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,3,Michael Eichert,PS,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,3,Michael Eichert,CP,5.75,0.941176470588235,1.03846153846154,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,4,Nick Fok,TQ,4.5,0.5,0.64,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,4,Nick Fok,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,4,Nick Fok,PS,4.75,0.8,0.8,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,4,Nick Fok,CP,0,0,0.0314440688625108,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,5,Katia Vanone,TQ,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,5,Katia Vanone,MM,5.25,0.941176470588235,0.961538461538461,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,5,Katia Vanone,PS,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,5,Katia Vanone,CP,5.5,1,0.997506234413965,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,6,Tatsumi Nakano,TQ,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,6,Tatsumi Nakano,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,6,Tatsumi Nakano,PS,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,6,Tatsumi Nakano,CP,5.25,0.941176470588235,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,7,Viktor Nikovskiy,TQ,5.5,1,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,7,Viktor Nikovskiy,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,7,Viktor Nikovskiy,PS,5.25,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,7,Viktor Nikovskiy,CP,0,0,0.0314440688625108,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,TQ,5.5,1,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,PS,5.75,0.8,1.2,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,CP,0,0,0.0314440688625108,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,TQ,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,PS,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,CP,6,0.8,1.16839916839917,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,TQ,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,PS,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,CP,5.25,0.941176470588235,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,TQ,5.5,1,1.03846153846154,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,MM,0,0,0.0363339086202198,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,PS,5.25,0.941176470588235,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,CP,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,TQ,5.5,1,1.03846153846154,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,MM,0,0,0.0363339086202198,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,PS,4.75,0.941176470588235,0.941176470588235,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,CP,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,TQ,0,0,0.0343760742523204,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,MM,5.25,1,1.00990099009901,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,PS,0,0,0.0384615384615385,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,CP,5.75,0.941176470588235,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,4,Nick Fok,TQ,5.75,0.941176470588235,1.16839916839917,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,4,Nick Fok,MM,0,0,0.0363339086202198,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,4,Nick Fok,PS,5.25,0.941176470588235,1.05882352941176,10,2019/5/27
